program_name,round,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
n_root.bril,1,33,711,"{('n_root', 'pow'): True, ('main', 'n_root'): True}","{('n_root', 'pow'): True, ('main', 'n_root'): True}"
n_root.bril,2,33,711,"{('n_root', 'pow'): True, ('main', 'n_root'): True}","{('n_root', 'pow'): True, ('main', 'n_root'): True}"
n_root.bril,3,33,711,"{('n_root', 'pow'): True, ('main', 'n_root'): True}","{('n_root', 'pow'): True, ('main', 'n_root'): True}"
newton.bril,1,29,205,"{('main', 'sqrt'): True}","{('main', 'sqrt'): True, ('main', 'diff'): True}"
newton.bril,2,29,205,"{('main', 'sqrt'): True}","{('main', 'sqrt'): True, ('main', 'diff'): True}"
newton.bril,3,29,205,"{('main', 'sqrt'): True}","{('main', 'sqrt'): True, ('main', 'diff'): True}"
euler.bril,1,43,1904,"{('main', 'taylor_series_euler'): True}","{('main', 'taylor_series_euler'): True, ('taylor_series_euler', 'factorial'): True}"
euler.bril,2,43,1904,"{('main', 'taylor_series_euler'): True, ('taylor_series_euler', 'factorial'): True}","{('main', 'taylor_series_euler'): True, ('taylor_series_euler', 'factorial'): True}"
euler.bril,3,43,1904,"{('main', 'taylor_series_euler'): True, ('taylor_series_euler', 'factorial'): True}","{('main', 'taylor_series_euler'): True, ('taylor_series_euler', 'factorial'): True}"
riemann.bril,1,70,295,"{('main', 'left_riemann'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}","{('right_riemann', 'square_function'): True, ('midpoint_riemann', 'square_function'): True, ('main', 'left_riemann'): True, ('left_riemann', 'square_function'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}"
riemann.bril,2,70,295,"{('right_riemann', 'square_function'): True, ('midpoint_riemann', 'square_function'): True, ('main', 'left_riemann'): True, ('left_riemann', 'square_function'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}","{('right_riemann', 'square_function'): True, ('midpoint_riemann', 'square_function'): True, ('main', 'left_riemann'): True, ('left_riemann', 'square_function'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}"
riemann.bril,3,70,295,"{('right_riemann', 'square_function'): True, ('midpoint_riemann', 'square_function'): True, ('main', 'left_riemann'): True, ('left_riemann', 'square_function'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}","{('right_riemann', 'square_function'): True, ('midpoint_riemann', 'square_function'): True, ('main', 'left_riemann'): True, ('left_riemann', 'square_function'): True, ('main', 'right_riemann'): True, ('main', 'midpoint_riemann'): True}"
mandelbrot.bril,1,151,2707810,"{}","{('main', 'pow10'): True, ('main', 'f'): True}"
mandelbrot.bril,2,151,2707810,"{}","{('main', 'pow10'): True, ('main', 'f'): True}"
mandelbrot.bril,3,151,2707810,"{}","{('main', 'pow10'): True, ('main', 'f'): True}"
norm.bril,1,73,481,"{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}","{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}"
norm.bril,2,73,481,"{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}","{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}"
norm.bril,3,73,481,"{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}","{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}"
cordic.bril,1,240,495,"{('main', 'cordic'): True}","{('main', 'cordic'): True}"
cordic.bril,2,240,495,"{('main', 'cordic'): True}","{('main', 'cordic'): True}"
cordic.bril,3,240,495,"{('main', 'cordic'): True}","{('main', 'cordic'): True}"
pow.bril,1,22,24,"{('main', 'pow'): True}","{('main', 'pow'): True}"
pow.bril,2,22,24,"{('main', 'pow'): True}","{('main', 'pow'): True}"
pow.bril,3,22,24,"{('main', 'pow'): True}","{('main', 'pow'): True}"
sqrt.bril,1,51,316,"{}","{}"
sqrt.bril,2,51,316,"{}","{}"
sqrt.bril,3,51,316,"{}","{}"
