program_name,best_program_size,best_executed_instructions,best_program_size_config,best_executed_instr_count_config
bitwise-ops.bril,65,1559,"{('main', 'XOR'): False, ('loop_subroutine', 'mod2'): False, ('XOR', 'AND'): False, ('XOR', 'OR'): False, ('AND', 'loop_subroutine'): False, ('OR', 'loop_subroutine'): False, ('main', 'AND'): False, ('main', 'OR'): False}","{('main', 'XOR'): False, ('loop_subroutine', 'mod2'): True, ('XOR', 'AND'): False, ('XOR', 'OR'): False, ('AND', 'loop_subroutine'): False, ('OR', 'loop_subroutine'): False, ('main', 'AND'): True, ('main', 'OR'): False}"
cholesky.bril,286,3727,"{('main', 'cholesky'): False, ('cholesky', 'sqrt'): False, ('main', 'transpose'): False, ('main', 'printarray'): False, ('main', 'zeros'): False, ('main', 'fillarray'): False, ('main', 'matmul'): False}","{('main', 'cholesky'): True, ('cholesky', 'sqrt'): True, ('main', 'transpose'): True, ('main', 'printarray'): True, ('main', 'zeros'): True, ('main', 'fillarray'): True, ('main', 'matmul'): True}"
mat-inv.bril,124,901,"{('inverse', 'mod'): False, ('determinant', 'mod'): False, ('main', 'inverse'): False, ('main', 'determinant'): False, ('inverse', 'matget'): False, ('main', 'printarray'): False, ('inverse', 'determinant'): False, ('determinant', 'matget'): False}","{('inverse', 'mod'): True, ('determinant', 'mod'): True, ('main', 'inverse'): True, ('main', 'determinant'): True, ('inverse', 'matget'): True, ('main', 'printarray'): True, ('inverse', 'determinant'): True, ('determinant', 'matget'): True}"
dead-branch.bril,23,1096,"{}","{}"
function_call.bril,21,54208816,"{('main', 'main'): False}","{('main', 'main'): False}"
ray-sphere-intersection.bril,106,109,"{('main', 'RaySphereIntersection'): False, ('RaySphereIntersection', 'DotProduct'): False}","{('main', 'RaySphereIntersection'): True, ('RaySphereIntersection', 'DotProduct'): True}"
ray-sphere-intersection.bril,-1,-1,"",""
leibniz.bril,29,12499997,"{}","{}"
n_root.bril,36,711,"{('main', 'n_root'): False, ('n_root', 'pow'): False}","{('main', 'n_root'): True, ('n_root', 'pow'): True}"
newton.bril,30,205,"{('main', 'diff'): False, ('main', 'sqrt'): False}","{('main', 'diff'): False, ('main', 'sqrt'): True}"
euler.bril,48,1903,"{('taylor_series_euler', 'factorial'): False, ('main', 'taylor_series_euler'): False, ('factorial', 'factorial'): False}","{('taylor_series_euler', 'factorial'): True, ('main', 'taylor_series_euler'): False, ('factorial', 'factorial'): False}"
riemann.bril,73,274,"{('main', 'left_riemann'): False, ('right_riemann', 'square_function'): False, ('main', 'right_riemann'): False, ('midpoint_riemann', 'square_function'): False, ('main', 'midpoint_riemann'): False, ('left_riemann', 'square_function'): False}","{('main', 'left_riemann'): False, ('right_riemann', 'square_function'): True, ('main', 'right_riemann'): False, ('midpoint_riemann', 'square_function'): True, ('main', 'midpoint_riemann'): False, ('left_riemann', 'square_function'): True}"
mandelbrot.bril,159,2707810,"{('main', 'f'): False, ('main', 'pow10'): False, ('f', 'f'): False}","{('main', 'f'): True, ('main', 'pow10'): False, ('f', 'f'): False}"
norm.bril,92,481,"{('n_root', 'pow'): False, ('main', 'euclidean_norm'): False, ('euclidean_norm', 'n_root'): False, ('main', 'pack'): False}","{('n_root', 'pow'): True, ('main', 'euclidean_norm'): True, ('euclidean_norm', 'n_root'): True, ('main', 'pack'): True}"
cordic.bril,262,495,"{('main', 'cordic'): False}","{('main', 'cordic'): True}"
pow.bril,33,24,"{('main', 'pow'): False}","{('main', 'pow'): True}"
sqrt.bril,57,316,"{}","{}"
quickselect.bril,101,274,"{('quickselect', 'partition'): False, ('main', 'quickselect'): False, ('main', 'pack'): False, ('quickselect', 'quickselect'): False}","{('quickselect', 'partition'): True, ('main', 'quickselect'): False, ('main', 'pack'): True, ('quickselect', 'quickselect'): False}"
sieve.bril,81,3373,"{('printPrimesUpTo', 'populateTable'): False, ('printPrimesUpTo', 'markMultiples'): False, ('printPrimesUpTo', 'findNextP'): False, ('printPrimesUpTo', 'printUnmarked'): False, ('main', 'printPrimesUpTo'): False}","{('printPrimesUpTo', 'populateTable'): True, ('printPrimesUpTo', 'markMultiples'): True, ('printPrimesUpTo', 'findNextP'): True, ('printPrimesUpTo', 'printUnmarked'): True, ('main', 'printPrimesUpTo'): True}"
bubblesort.bril,72,230,"{('main', 'swap_cond'): False, ('main', 'print_array'): False, ('main', 'pack'): False}","{('main', 'swap_cond'): True, ('main', 'print_array'): True, ('main', 'pack'): True}"
